time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-20 00:00:00+00:00,2,2,92,24
2026-03-21 00:00:00+00:00,1,1,108,28
2026-03-22 00:00:00+00:00,1,1,139,37
2026-03-23 00:00:00+00:00,0,0,78,24
2026-03-24 00:00:00+00:00,0,0,116,31
2026-03-25 00:00:00+00:00,0,0,91,30
2026-03-26 00:00:00+00:00,1,1,41,16
2026-03-27 00:00:00+00:00,2,2,14,7
2026-03-28 00:00:00+00:00,2,2,8,5
2026-03-29 00:00:00+00:00,2,2,33,10
2026-03-30 00:00:00+00:00,1,1,27,15
2026-03-31 00:00:00+00:00,0,0,29,12
2026-04-01 00:00:00+00:00,0,0,51,20
2026-04-02 00:00:00+00:00,1,1,136,26
