time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,2,2,56,18
2025-10-11 00:00:00+00:00,6,6,103,13
2025-10-12 00:00:00+00:00,4,3,168,22
2025-10-13 00:00:00+00:00,2,2,212,49
2025-10-14 00:00:00+00:00,2,2,196,36
2025-10-15 00:00:00+00:00,3,3,207,26
2025-10-16 00:00:00+00:00,6,6,67,23
2025-10-17 00:00:00+00:00,2,2,90,17
2025-10-18 00:00:00+00:00,5,5,96,16
2025-10-19 00:00:00+00:00,5,4,145,23
2025-10-20 00:00:00+00:00,5,5,172,34
2025-10-21 00:00:00+00:00,2,2,115,25
2025-10-22 00:00:00+00:00,4,4,110,22
2025-10-23 00:00:00+00:00,2,2,96,16
