time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-01 00:00:00+00:00,3,3,148,25
2026-03-02 00:00:00+00:00,4,4,444,65
2026-03-03 00:00:00+00:00,3,3,182,38
2026-03-04 00:00:00+00:00,4,4,291,49
2026-03-05 00:00:00+00:00,1,1,115,20
2026-03-06 00:00:00+00:00,4,4,52,15
2026-03-07 00:00:00+00:00,1,1,243,45
2026-03-08 00:00:00+00:00,1,1,151,31
2026-03-09 00:00:00+00:00,0,0,178,40
2026-03-10 00:00:00+00:00,2,2,107,38
2026-03-11 00:00:00+00:00,2,2,90,27
2026-03-12 00:00:00+00:00,1,1,77,15
2026-03-13 00:00:00+00:00,2,2,66,18
2026-03-14 00:00:00+00:00,1,1,111,27
