time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,,,53,22
2025-03-24 00:00:00+00:00,7.0,6.0,151,34
2025-03-25 00:00:00+00:00,1.0,1.0,105,31
2025-03-26 00:00:00+00:00,1.0,1.0,73,16
2025-03-27 00:00:00+00:00,1.0,1.0,65,17
2025-03-28 00:00:00+00:00,1.0,1.0,14,8
2025-03-29 00:00:00+00:00,2.0,2.0,33,12
2025-03-30 00:00:00+00:00,,,26,9
2025-03-31 00:00:00+00:00,,,88,21
2025-04-01 00:00:00+00:00,,,41,14
2025-04-02 00:00:00+00:00,1.0,1.0,30,13
2025-04-03 00:00:00+00:00,,,21,10
2025-04-04 00:00:00+00:00,,,268,37
2025-04-05 00:00:00+00:00,,,45,14
