time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-20 00:00:00+00:00,,,144,25
2024-03-21 00:00:00+00:00,7.0,7.0,112,20
2024-03-22 00:00:00+00:00,3.0,2.0,88,15
2024-03-23 00:00:00+00:00,2.0,2.0,149,17
2024-03-24 00:00:00+00:00,,,176,24
2024-03-25 00:00:00+00:00,,,69,16
2024-03-26 00:00:00+00:00,,,79,16
2024-03-27 00:00:00+00:00,,,109,18
2024-03-28 00:00:00+00:00,4.0,4.0,38,11
2024-03-29 00:00:00+00:00,3.0,2.0,51,10
2024-03-30 00:00:00+00:00,1.0,1.0,51,8
2024-03-31 00:00:00+00:00,,,80,15
2024-04-01 00:00:00+00:00,,,114,18
2024-04-02 00:00:00+00:00,,,141,19
