time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-13 00:00:00+00:00,1.0,1.0,177,34
2025-05-14 00:00:00+00:00,1.0,1.0,102,22
2025-05-15 00:00:00+00:00,,,131,30
2025-05-16 00:00:00+00:00,1.0,1.0,127,25
2025-05-17 00:00:00+00:00,,,119,27
2025-05-18 00:00:00+00:00,1.0,1.0,80,22
2025-05-19 00:00:00+00:00,,,109,33
2025-05-20 00:00:00+00:00,1.0,1.0,96,28
2025-05-21 00:00:00+00:00,1.0,1.0,171,29
2025-05-22 00:00:00+00:00,1.0,1.0,149,37
2025-05-23 00:00:00+00:00,,,85,28
2025-05-24 00:00:00+00:00,,,77,20
2025-05-25 00:00:00+00:00,1.0,1.0,78,25
2025-05-26 00:00:00+00:00,4.0,4.0,168,39
