time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-08 00:00:00+00:00,,,344,31
2025-10-09 00:00:00+00:00,2.0,2.0,105,22
2025-10-10 00:00:00+00:00,2.0,2.0,56,18
2025-10-11 00:00:00+00:00,6.0,6.0,103,13
2025-10-12 00:00:00+00:00,4.0,3.0,168,22
2025-10-13 00:00:00+00:00,2.0,2.0,212,49
2025-10-14 00:00:00+00:00,2.0,2.0,196,36
2025-10-15 00:00:00+00:00,3.0,3.0,207,26
2025-10-16 00:00:00+00:00,6.0,6.0,67,23
2025-10-17 00:00:00+00:00,2.0,2.0,90,17
2025-10-18 00:00:00+00:00,5.0,5.0,96,16
2025-10-19 00:00:00+00:00,5.0,4.0,145,23
2025-10-20 00:00:00+00:00,5.0,5.0,172,34
2025-10-21 00:00:00+00:00,2.0,2.0,115,25
