time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-19 00:00:00+00:00,,,109,33
2025-05-20 00:00:00+00:00,1.0,1.0,96,28
2025-05-21 00:00:00+00:00,1.0,1.0,171,29
2025-05-22 00:00:00+00:00,1.0,1.0,149,37
2025-05-23 00:00:00+00:00,,,85,28
2025-05-24 00:00:00+00:00,,,77,20
2025-05-25 00:00:00+00:00,1.0,1.0,78,25
2025-05-26 00:00:00+00:00,4.0,4.0,169,39
2025-05-27 00:00:00+00:00,,,146,33
2025-05-28 00:00:00+00:00,7.0,6.0,86,31
2025-05-29 00:00:00+00:00,2.0,1.0,174,51
2025-05-30 00:00:00+00:00,1.0,1.0,196,50
2025-05-31 00:00:00+00:00,1.0,1.0,151,37
2025-06-01 00:00:00+00:00,4.0,3.0,302,66
