time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,0,0,15,10
2026-02-01 00:00:00+00:00,0,0,46,6
2026-02-02 00:00:00+00:00,0,0,71,21
2026-02-03 00:00:00+00:00,3,3,80,13
2026-02-04 00:00:00+00:00,1,1,8,2
2026-02-05 00:00:00+00:00,3,3,24,11
2026-02-06 00:00:00+00:00,0,0,7,4
2026-02-07 00:00:00+00:00,1,1,15,7
2026-02-08 00:00:00+00:00,0,0,11,7
2026-02-09 00:00:00+00:00,0,0,26,7
2026-02-10 00:00:00+00:00,0,0,39,10
2026-02-11 00:00:00+00:00,0,0,14,8
2026-02-12 00:00:00+00:00,0,0,25,5
2026-02-13 00:00:00+00:00,2,2,22,8
