time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-15 00:00:00+00:00,17,3,60,20
2026-05-16 00:00:00+00:00,2,2,140,27
2026-05-17 00:00:00+00:00,0,0,111,30
2026-05-18 00:00:00+00:00,3,3,78,27
2026-05-19 00:00:00+00:00,0,0,66,29
2026-05-20 00:00:00+00:00,2,2,80,31
2026-05-21 00:00:00+00:00,2,2,53,25
2026-05-22 00:00:00+00:00,1,1,79,29
2026-05-23 00:00:00+00:00,1,1,89,23
2026-05-24 00:00:00+00:00,0,0,159,34
2026-05-25 00:00:00+00:00,3,3,359,58
2026-05-26 00:00:00+00:00,2,2,333,76
2026-05-27 00:00:00+00:00,4,4,262,66
2026-05-28 00:00:00+00:00,0,0,414,95
