time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-27 00:00:00+00:00,1.0,1.0,72,13
2023-11-28 00:00:00+00:00,,,14,5
2023-11-29 00:00:00+00:00,,,17,3
2023-11-30 00:00:00+00:00,,,43,6
2023-12-01 00:00:00+00:00,,,23,3
2023-12-02 00:00:00+00:00,1.0,1.0,71,6
2023-12-03 00:00:00+00:00,,,85,10
2023-12-04 00:00:00+00:00,,,40,10
2023-12-05 00:00:00+00:00,,,34,8
2023-12-06 00:00:00+00:00,1.0,1.0,81,12
2023-12-07 00:00:00+00:00,3.0,1.0,124,15
2023-12-08 00:00:00+00:00,,,75,10
2023-12-09 00:00:00+00:00,2.0,2.0,20,5
2023-12-10 00:00:00+00:00,,,33,7
