time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-20 00:00:00+00:00,,,16,5
2025-01-21 00:00:00+00:00,,,4,2
2025-01-22 00:00:00+00:00,,,9,2
2025-01-23 00:00:00+00:00,,,3,2
2025-01-25 00:00:00+00:00,1.0,1.0,14,8
2025-01-26 00:00:00+00:00,,,40,11
2025-01-27 00:00:00+00:00,,,49,14
2025-01-28 00:00:00+00:00,,,58,11
2025-01-29 00:00:00+00:00,,,34,8
2025-01-30 00:00:00+00:00,,,30,9
2025-01-31 00:00:00+00:00,,,20,6
2025-02-01 00:00:00+00:00,1.0,1.0,17,5
2025-02-02 00:00:00+00:00,,,18,5
