time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-03 00:00:00+00:00,1.0,1.0,16,1
2024-08-04 00:00:00+00:00,,,24,4
2024-08-05 00:00:00+00:00,1.0,1.0,36,3
2024-08-06 00:00:00+00:00,,,12,4
2024-08-07 00:00:00+00:00,,,31,5
2024-08-08 00:00:00+00:00,,,11,2
2024-08-09 00:00:00+00:00,1.0,1.0,24,4
2024-08-10 00:00:00+00:00,,,15,4
2024-08-11 00:00:00+00:00,,,58,7
2024-08-12 00:00:00+00:00,,,24,4
2024-08-13 00:00:00+00:00,3.0,3.0,8,2
2024-08-14 00:00:00+00:00,1.0,1.0,17,8
2024-08-15 00:00:00+00:00,,,10,3
2024-08-16 00:00:00+00:00,,,3,1
