time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,5,5,33,11
2026-04-06 00:00:00+00:00,2,2,60,20
2026-04-07 00:00:00+00:00,2,2,6,5
2026-04-08 00:00:00+00:00,1,1,30,12
2026-04-09 00:00:00+00:00,1,1,33,7
2026-04-10 00:00:00+00:00,1,1,19,9
2026-04-11 00:00:00+00:00,2,2,34,11
2026-04-12 00:00:00+00:00,0,0,18,6
2026-04-13 00:00:00+00:00,0,0,30,6
2026-04-14 00:00:00+00:00,0,0,47,13
2026-04-15 00:00:00+00:00,0,0,40,11
2026-04-16 00:00:00+00:00,4,4,80,19
2026-04-17 00:00:00+00:00,0,0,33,11
2026-04-18 00:00:00+00:00,1,1,32,11
