time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,0,0,14,5
2026-09-05 00:00:00+00:00,2,1,5,3
2026-09-06 00:00:00+00:00,7,4,18,7
2026-09-07 00:00:00+00:00,1,1,16,5
2026-09-08 00:00:00+00:00,3,2,19,6
2026-09-09 00:00:00+00:00,0,0,17,6
2026-09-10 00:00:00+00:00,2,2,4,1
2026-09-11 00:00:00+00:00,0,0,1,1
2026-09-12 00:00:00+00:00,2,2,0,0
2026-09-13 00:00:00+00:00,0,0,0,0
2026-09-14 00:00:00+00:00,2,2,16,5
2026-09-15 00:00:00+00:00,2,2,25,3
2026-09-16 00:00:00+00:00,2,2,0,0
2026-09-17 00:00:00+00:00,3,3,0,0
