time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-03 00:00:00+00:00,5.0,5.0,180,39
2025-03-04 00:00:00+00:00,4.0,4.0,266,29
2025-03-05 00:00:00+00:00,1.0,1.0,61,18
2025-03-06 00:00:00+00:00,,,119,26
2025-03-07 00:00:00+00:00,1.0,1.0,99,21
2025-03-08 00:00:00+00:00,2.0,2.0,67,14
2025-03-09 00:00:00+00:00,,,103,33
2025-03-10 00:00:00+00:00,2.0,2.0,234,46
2025-03-11 00:00:00+00:00,1.0,1.0,265,45
2025-03-12 00:00:00+00:00,1.0,1.0,144,30
2025-03-13 00:00:00+00:00,10.0,6.0,106,25
2025-03-14 00:00:00+00:00,1.0,1.0,73,23
2025-03-15 00:00:00+00:00,2.0,2.0,158,21
2025-03-16 00:00:00+00:00,1.0,1.0,100,26
