time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-08 00:00:00+00:00,3.0,3.0,149,16
2024-04-09 00:00:00+00:00,1.0,1.0,96,15
2024-04-10 00:00:00+00:00,,,147,17
2024-04-11 00:00:00+00:00,,,64,12
2024-04-12 00:00:00+00:00,,,30,9
2024-04-13 00:00:00+00:00,2.0,2.0,63,12
2024-04-14 00:00:00+00:00,,,112,20
2024-04-15 00:00:00+00:00,2.0,2.0,165,27
2024-04-16 00:00:00+00:00,1.0,1.0,96,14
2024-04-17 00:00:00+00:00,3.0,3.0,100,13
2024-04-18 00:00:00+00:00,,,69,12
2024-04-19 00:00:00+00:00,,,75,16
2024-04-20 00:00:00+00:00,,,91,16
2024-04-21 00:00:00+00:00,,,83,15
