time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,4,4,52,15
2026-03-07 00:00:00+00:00,1,1,243,45
2026-03-08 00:00:00+00:00,1,1,151,31
2026-03-09 00:00:00+00:00,0,0,178,40
2026-03-10 00:00:00+00:00,2,2,107,38
2026-03-11 00:00:00+00:00,2,2,90,27
2026-03-12 00:00:00+00:00,1,1,77,15
2026-03-13 00:00:00+00:00,2,2,66,18
2026-03-14 00:00:00+00:00,1,1,111,27
2026-03-15 00:00:00+00:00,2,2,72,25
2026-03-16 00:00:00+00:00,2,2,117,38
2026-03-17 00:00:00+00:00,0,0,103,27
2026-03-18 00:00:00+00:00,0,0,118,32
2026-03-19 00:00:00+00:00,0,0,150,34
