time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,5,5,96,16
2025-10-19 00:00:00+00:00,5,4,145,23
2025-10-20 00:00:00+00:00,5,5,172,34
2025-10-21 00:00:00+00:00,2,2,115,25
2025-10-22 00:00:00+00:00,4,4,110,22
2025-10-23 00:00:00+00:00,2,2,100,16
2025-10-24 00:00:00+00:00,2,2,138,26
2025-10-25 00:00:00+00:00,3,3,118,29
2025-10-26 00:00:00+00:00,2,2,271,40
2025-10-27 00:00:00+00:00,3,3,268,54
2025-10-28 00:00:00+00:00,3,3,276,45
2025-10-29 00:00:00+00:00,2,2,145,37
2025-10-30 00:00:00+00:00,4,4,65,15
2025-10-31 00:00:00+00:00,2,2,64,21
