time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,1,1,4,4
2026-06-03 00:00:00+00:00,2,2,5,5
2026-06-04 00:00:00+00:00,0,0,12,6
2026-06-05 00:00:00+00:00,3,3,5,3
2026-06-06 00:00:00+00:00,0,0,17,8
2026-06-07 00:00:00+00:00,2,2,11,9
2026-06-08 00:00:00+00:00,1,1,34,8
2026-06-09 00:00:00+00:00,6,5,8,5
2026-06-10 00:00:00+00:00,4,4,36,14
2026-06-11 00:00:00+00:00,3,3,12,5
2026-06-12 00:00:00+00:00,1,1,2,2
2026-06-13 00:00:00+00:00,1,1,3,2
2026-06-14 00:00:00+00:00,0,0,5,3
2026-06-15 00:00:00+00:00,1,1,1,1
