time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-07 00:00:00+00:00,,,76,15
2024-05-08 00:00:00+00:00,,,54,13
2024-05-09 00:00:00+00:00,,,131,17
2024-05-10 00:00:00+00:00,,,217,22
2024-05-11 00:00:00+00:00,,,82,20
2024-05-12 00:00:00+00:00,,,91,19
2024-05-13 00:00:00+00:00,,,103,18
2024-05-14 00:00:00+00:00,2.0,2.0,124,15
2024-05-15 00:00:00+00:00,,,101,15
2024-05-16 00:00:00+00:00,1.0,1.0,87,15
2024-05-17 00:00:00+00:00,1.0,1.0,42,9
2024-05-18 00:00:00+00:00,1.0,1.0,83,14
2024-05-19 00:00:00+00:00,,,82,12
2024-05-20 00:00:00+00:00,,,169,23
