time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-28 00:00:00+00:00,1.0,1.0,426,32
2024-02-29 00:00:00+00:00,1.0,1.0,180,16
2024-03-01 00:00:00+00:00,,,163,12
2024-03-02 00:00:00+00:00,2.0,2.0,130,17
2024-03-03 00:00:00+00:00,2.0,2.0,108,15
2024-03-04 00:00:00+00:00,2.0,2.0,302,31
2024-03-05 00:00:00+00:00,,,146,20
2024-03-06 00:00:00+00:00,3.0,3.0,364,29
2024-03-07 00:00:00+00:00,,,525,55
2024-03-08 00:00:00+00:00,1.0,1.0,314,34
2024-03-09 00:00:00+00:00,1.0,1.0,279,26
2024-03-10 00:00:00+00:00,6.0,4.0,352,30
2024-03-11 00:00:00+00:00,3.0,3.0,444,43
2024-03-12 00:00:00+00:00,,,251,38
