url_path,views_total,views_unique
/mcmarius/pbd,9,7
/mcmarius/pbd/tree/master/scripts/hr,6,2
/mcmarius/pbd/blob/master/laboratoare.md,4,1
/mcmarius/pbd/blob/master/diverse.md,2,1
/mcmarius/pbd/blob/master/rezumat.md,2,1
/mcmarius/pbd/blob/master/scripts/hr/oracle_hr_project1.sql,2,1
/mcmarius/pbd/blob/master/scripts/hr/oracle_schema%20video.sql,2,1
/mcmarius/pbd/blob/master/scripts/hr/pg_create_hr_schema.sql,2,1
/mcmarius/pbd/blob/master/scripts/hr/sqlite-hr-schema.sql,2,1
/mcmarius/pbd/tree/master,2,1
