url_path,views_total,views_unique
/mcmarius/pbd,29,14
/mcmarius/pbd/blob/master/laboratoare.md,28,7
/mcmarius/pbd/tree/master/scripts/hr,4,3
/mcmarius/pbd/blob/master/scripts/hr/oracle_23_hr_create.sql,3,3
/mcmarius/pbd/blob/master/diverse.md,3,2
/mcmarius/pbd/blob/master/scripts/hr/oracle_23_schema_video.sql,3,1
/mcmarius/pbd/blob/master/rezumat.md,2,2
/mcmarius/pbd/blob/master/scripts/hr/mysql-hr-schema.sql,2,2
/mcmarius/pbd/blob/master/scripts/hr/oracle_hr_project.sql,2,2
/mcmarius/pbd/tree/master,2,1
