time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-11 00:00:00+00:00,,,13.0,5.0
2024-01-12 00:00:00+00:00,1.0,1.0,52.0,6.0
2024-01-13 00:00:00+00:00,,,90.0,13.0
2024-01-14 00:00:00+00:00,,,109.0,16.0
2024-01-15 00:00:00+00:00,,,116.0,19.0
2024-01-16 00:00:00+00:00,1.0,1.0,43.0,13.0
2024-01-17 00:00:00+00:00,,,2.0,1.0
2024-01-18 00:00:00+00:00,,,10.0,2.0
2024-01-19 00:00:00+00:00,,,2.0,1.0
2024-01-22 00:00:00+00:00,,,17.0,1.0
2024-01-23 00:00:00+00:00,1.0,1.0,,
2024-01-24 00:00:00+00:00,1.0,1.0,4.0,2.0
