time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-05 00:00:00+00:00,,,8,3
2024-01-06 00:00:00+00:00,,,9,2
2024-01-07 00:00:00+00:00,,,5,2
2024-01-08 00:00:00+00:00,,,41,5
2024-01-09 00:00:00+00:00,,,20,4
2024-01-10 00:00:00+00:00,,,6,2
2024-01-11 00:00:00+00:00,,,13,5
2024-01-12 00:00:00+00:00,1.0,1.0,52,6
2024-01-13 00:00:00+00:00,,,90,13
2024-01-14 00:00:00+00:00,,,109,16
2024-01-15 00:00:00+00:00,,,116,19
2024-01-16 00:00:00+00:00,1.0,1.0,43,13
2024-01-17 00:00:00+00:00,,,2,1
2024-01-18 00:00:00+00:00,,,10,2
