time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,1.0,1.0,,
2024-10-05 00:00:00+00:00,,,9.0,3.0
2024-10-06 00:00:00+00:00,,,8.0,2.0
2024-10-07 00:00:00+00:00,1.0,1.0,37.0,10.0
2024-10-08 00:00:00+00:00,1.0,1.0,50.0,20.0
2024-10-09 00:00:00+00:00,,,5.0,2.0
2024-10-10 00:00:00+00:00,,,9.0,4.0
2024-10-11 00:00:00+00:00,,,15.0,2.0
2024-10-12 00:00:00+00:00,,,5.0,3.0
2024-10-13 00:00:00+00:00,,,4.0,1.0
2024-10-14 00:00:00+00:00,,,35.0,10.0
2024-10-15 00:00:00+00:00,,,5.0,3.0
2024-10-16 00:00:00+00:00,,,4.0,2.0
